n_estimators,max_depth,min_samples_leaf,max_features,Test_RPS_Mean,Train_RPS_Mean
512,12,32,sqrt,0.17608857751229415,0.040038285689762206
512,12,16,sqrt,0.17590515888552896,0.02540447790146874
512,12,8,sqrt,0.17531815484452906,0.017719525909989167
512,12,4,sqrt,0.17467449858816012,0.013768831138381246
512,12,2,sqrt,0.17590270425355628,0.011850111111314154
512,12,1,sqrt,0.17580503242165513,0.011292013256345027
512,8,32,sqrt,0.17577376976793782,0.0828111769678423
512,8,16,sqrt,0.17625859207564498,0.07738063641664224
512,8,8,sqrt,0.17591362145698453,0.07482579001692165
512,8,4,sqrt,0.17603984873531864,0.07349574556938808
512,8,2,sqrt,0.1763864451491198,0.07292786957682361
512,8,1,sqrt,0.17539863921549492,0.07281102304373187
512,4,32,sqrt,0.18339849060984517,0.16375090646764726
512,4,16,sqrt,0.18346111838154888,0.16370377832504204
512,4,8,sqrt,0.18352523099332588,0.16366252501954157
512,4,4,sqrt,0.18350569616406617,0.16366060075371536
512,4,2,sqrt,0.18350605416215848,0.16365899196922595
512,4,1,sqrt,0.18351119484539566,0.1636583062836496
